date,id,amount,country
2011-02-01,10133,306.05,UK
2011-02-01,10140,1309.4,Germany
2011-02-01,10197,1877.58,China
2011-02-02,10111,28.79,Japan
2011-02-02,10135,288.84,France
2011-02-02,10164,1402.37,USA
2011-02-03,10110,1593.03,UK
2011-02-03,10154,2049.69,Germany
2011-02-03,10173,1789.59,Germany
2011-02-03,10177,1048.87,Canada
2011-02-03,10191,1614.02,Japan
2011-02-05,10156,80.57,Germany
2011-02-05,10175,394.06,France
2011-02-05,10189,2452.19,China
2011-02-06,10101,1106.7,UK
2011-02-06,10134,1459.86,UK
2011-02-06,10169,1864.27,Australia
2011-02-07,10108,1724.99,UK
2011-02-07,10146,1062.71,France
2011-02-07,10179,2085.57,France
2011-02-08,10127,514.94,Australia
2011-02-08,10129,78.69,Germany
2011-02-09,10105,306.26,USA
2011-02-09,10125,414.81,USA
2011-02-09,10139,130.08,France
2011-02-09,10174,852.9,USA
2011-02-09,10193,960.18,Germany
2011-02-09,10195,1884.98,France
2011-02-09,10196,2090.58,Australia
2011-02-10,10107,1519.98,Canada
2011-02-10,10150,541.25,Canada
2011-02-10,10183,1888.62,France
2011-02-12,10118,2249.47,China
2011-02-12,10119,540.99,Germany
2011-02-12,10128,776.87,Germany
2011-02-12,10136,1826.79,Canada
2011-02-12,10141,1089.62,Canada
2011-02-12,10198,576.07,USA
2011-02-13,10126,2182.97,Australia
2011-02-13,10130,834.09,USA
2011-02-13,10138,2250.77,Germany
2011-02-13,10160,625.08,China
2011-02-13,10190,1487.89,China
2011-02-14,10117,336.06,UK
2011-02-14,10123,81.47,Canada
2011-02-14,10137,1523.4,USA
2011-02-15,10151,1115.63,Germany
2011-02-15,10158,1047.81,Germany
2011-02-15,10165,350.68,Australia
2011-02-15,10170,662.8,Germany
2011-02-15,10194,830.58,France
2011-02-16,10157,1535.96,USA
2011-02-16,10182,34.62,Canada
2011-02-16,10185,564.17,France
2011-02-16,10186,91.98,Canada
2011-02-17,10109,1231.56,China
2011-02-17,10152,1193.5,Japan
2011-02-18,10114,43.98,USA
2011-02-18,10149,2087.64,UK
2011-02-18,10178,1175.49,China
2011-02-18,10184,1873.84,Germany
2011-02-20,10102,2459.96,China
2011-02-20,10121,1878.7,Germany
2011-02-20,10142,798.51,USA
2011-02-20,10148,1431.38,France
2011-02-21,10112,2449.9,Japan
2011-02-21,10172,613.33,Australia
2011-02-22,10103,2046.42,UK
2011-02-22,10104,276.89,Japan
2011-02-22,10120,274.93,France
2011-02-22,10132,2453.25,Canada
2011-02-22,10144,1032.81,France
2011-02-22,10147,1875.37,Japan
2011-02-22,10153,230.29,Canada
2011-02-22,10155,789.84,Germany
2011-02-22,10166,1337.21,Canada
2011-02-22,10187,1704.27,France
2011-02-23,10115,2261.74,China
2011-02-23,10145,753.22,Japan
2011-02-23,10159,1746.96,Australia
2011-02-23,10176,398.96,Germany
2011-02-24,10106,1391.99,UK
2011-02-24,10113,1115.75,France
2011-02-24,10143,2252.12,UK
2011-02-24,10188,429.31,Australia
2011-02-25,10131,712.23,France
2011-02-25,10161,2153.89,USA
2011-02-25,10162,1074.36,Japan
2011-02-25,10167,2230.74,France
2011-02-25,10180,1468.52,China
2011-02-25,10199,2394.07,China
2011-02-25,10200,96.95,Germany
2011-02-26,10124,2328.42,Germany
2011-02-26,10163,2395.76,Australia
2011-02-27,10116,935.66,Japan
2011-02-27,10168,2269.0,Australia
2011-02-27,10171,1601.4,Australia
2011-02-28,10122,423.0,Japan
2011-02-28,10181,2204.03,France
2011-02-28,10192,1165.01,China
